,省份,城市,nowConfirm,confirm,dead,heal
427,新疆,昌吉州,0,4,0,4
428,新疆,第八师石河子,0,4,1,3
429,新疆,兵团第四师,0,10,1,9
430,新疆,伊犁州,0,18,0,18
431,新疆,六师五家渠,0,2,0,2
432,新疆,兵团第十二师,0,3,0,3
433,新疆,巴州,0,3,0,3
434,新疆,第七师,0,1,0,1
435,新疆,阿克苏,0,1,0,1
436,海南,海口,0,39,0,39
437,海南,儋州,0,15,1,14
438,海南,三亚,0,54,1,53
439,海南,东方,0,3,1,2
440,海南,万宁,0,13,0,13
441,海南,澄迈县,0,9,1,8
442,海南,昌江县,0,7,0,7
443,海南,保亭,0,3,0,3
444,海南,琼海,0,6,1,5
445,海南,临高县,0,6,0,6
446,海南,陵水县,0,4,0,4
447,海南,乐东,0,2,0,2
448,海南,文昌,0,3,0,3
449,海南,定安县,0,3,1,2
450,海南,琼中县,0,1,0,1
451,青海,海北州,0,3,0,3
452,青海,西宁,0,15,0,15
453,西藏,拉萨,0,1,0,1
